target_index,sample_domain,sample_id,src,ref
0,manuals,gb-0,本文件按照 GB/T 1.1 一 202 久标准化工作导则第工部分:标准化文件的结构和起草规则的规定起惠。,"The rules in GB/T 1.1-202 are the establishment for this record, rules for Long-Term Standardization Work Segment II: Guidelines Record Structure and Composing Rules."
1,manuals,gb-0,"本文件代替 GB 18030 一 2005 信息技术 ”中文编码字符集与 GB 18030 一 2005 相比,除结构调整和编辑性改动外,主要扩术变化如下:","This record upgrades the Chinese coded character set for ""Data Innovation"" in GB 18030-2005, with the special case of auxiliary adjustments and publication modifications, the vital specialized changes from GB 18030-2005 are as takes after:"
5,manuals,gb-1,删除了附录 ”追加的汉字及部首/部件 “ 见 2005 年版的附录 〇 ，,"Appendix with more Chinese characters and radicals/parts removed from 2005 edition,"
8,manuals,gb-1,请注意本文件的某些内容可能涉及专利。 本文件的发布机构不承担识别专利的责任。,Please be aware that this text may include references to patents in some places. This document's issuing agency disclaims any liability related to patent identification.
98,manuals,gb-4,任何本文件适用的产品均应满足实现级别 1 的要求。,Each item to which this record relates must follow to the Execution Level 1 details.
351,manuals,wdr-3,据估计，2018年使用大麻的有 1.92 亿人，使之成为全球使用最多的毒品。,Cannabis was the top substance used globally in 2018 by 0.192 billion people.
356,manuals,wdr-3,在西非、中部非洲和北非，加剧类阿片危机的是曲马多；在北美则是芬太尼。这两个区域在经济、人口统计数据或一般吸毒模式方面几乎没有共同点，但都在奋力抗击由容易获得且生产成本低的物质助长的类阿片危机。,"In West, Central and North Africa, it is tramadol that is fueling the opioid crisis; in North America it is fentanyl. The opioid problem is being exacerbated by easily accessible and inexpensively produced drugs in the two locations, which have little in common in terms of economics, demographics, or overall drug usage trends."
454,manuals,xm-2,注意,Note:
487,news,chinanews.com.280744,欧盟峰会为难民政策争论，欧盟官员：接收过程步步瓶颈-中新网,"EU faces admission obstacles in refugee policy talks, says Chinanews com"
494,news,chinanews.com.280744,但一些成员国的外交官员称，如果欧盟能分担外部边界沿线安装摄像头、瞭望塔和其他基础设施的部分，这将给各国腾出国家预算从而加快建设进程。,"The installation of cameras, watchtowers, and other infrastructure along the EU's external borders would free up national funds and move along more quickly, according to diplomats in several member states."
523,news,chinanews.com.280781,个人养老金理财产品终于上线了。,Items for overseeing individual benefits riches have at long last been presented.
551,news,chinanews.com.280786,个别健身机构的部分门店出现经营问题，暂时关闭，消费者本可心平气和等待问题解决，为何不少会员的第一反应是“大事不妙”？,"Fitness stores in financial trouble are closed for now, customers can be patient, ""Why is 'not good' common among members' responses?"""
595,news,chinanews.com.280802,多项数据衰退 台湾经济开年表现不佳-中新网,"Agreeing to a number of information focuses, Taiwan's economy did ineffectively within the begin of the year"
598,news,chinanews.com.280802,据台当局财政事务主管部门公布，台湾地区今年1月出口315.1亿美元，年减21.2%，连续第5个月负增长。,"Concurring to the monetary undertakings office of the Taiwan specialists, Taiwan's trades in January this year were 31.51 billion US dollars, an yearly diminish of 21.2%, and it was the fifth continuous month of negative development."
660,news,chinanews.com.280870,从2月10日起，河南省单颗常规种植牙医疗服务价格全流程调控目标为4300元，单颗常规种植全流程费用不高于调控目标的97%。,"As of February 10, the cost of a single conventional dental implant medical treatment in Henan Province is regulated to be priced at 4,300 yuan for the full process, and it is prohibited from exceeding 97% of the regulatory objective."
668,news,chinanews.com.280872,其中提出，2023年底前，建成高速率、大容量、低时延的超级宽带网络，实现“双千兆、全光网、1毫秒、万物联”网络建设目标，打造国内第一、世界领先的极速先锋城市。,"To attain the objective of ""double gigabit, all-optical arrange, 1 millisecond, and the Web of Everything"" arrange development, it is recommended that by the conclusion of 2023, a high-speed, large-capacity, and low-latency ultra-broadband organize will be built, this will make the primary in China and the driving Speed pioneer city."
715,news,chinanews.com.280883,本报讯(记者 孙杰)昨晚，北交所发布消息，经中国证监会批准，北京证券交易所融资融券交易业务将于2月13日正式启动，届时已取得北交所融资融券交易权限的证券公司可接受投资者委托，向北交所进行融资融券交易申报。,"(Reporter Sun Jie) Last night, the Beijing Stock Exchange (BSE) issued a news release, approved by the China Securities Regulatory Commission, the Beijing Stock Exchange financing and securities trading business will be officially launched on February 13, when the securities companies that have obtained the BSE's financing and securities trading authority can accept investors' entrustment and declare financing and securities trading to the BSE."
884,news,chinese.macao.16304,1. 多关注网络安全资讯，提高个人防范意识；,1. Pay more attention to network security information and improve personal awareness of prevention;
900,news,hunan_ribao-zh.11306,习近平回信勉励援中非中国医疗队队员 以仁心仁术造福当地人民 以实际行动讲好中国故事,Xi Jinping wrote back to encourage China's medical team members to benefit local people with their benevolent hearts and skills and tell the Chinese story with practical actions
903,news,hunan_ribao-zh.11306,习近平在回信中说，你们在中非克服工作生活上的困难，用心服务当地民众，既是救死扶伤的白衣天使，也是传递情谊的友好使者。,"In his reply letter, Xi Jinping said that you overcame difficulties in work and life in Central Africa and served the local people wholeheartedly."
918,news,hunan_ribao-zh.11308,结业式上，研讨班10名代表发言，汇报交流了学习收获。,"At  the closing ceremony, 10 representatives from the seminar delivered speeches, sharing their learning achievements and experiences."
935,news,international_times-zh.9293,新加坡旅游业复苏强劲 入境旅客比2021年增长19倍,"Singapore tourism recovers strongly, arrivals up 19 times compared to 2021"
972,news,international_times-zh.9295,而第一夫人李雪主全程只能走在后头或是坐在一旁，总是距离丈夫和女儿有几步之差。,"The first lady, Li Xuezhu, could only walk behind or sit aside, always a few steps away from her husband and daughter."
