target_index,sample_domain,sample_id,src,ref
3,news,animals-10505867.news,שלושה גורי ברדלס אסייתי הגיחו לאחרונה לאוויר העולם ברפובליקה האסלאמית של איראן.,Three Asiatic cheetah cubs recently emerged into the world in the Islamic Republic of Iran.
15,news,auto-5285631.news,ספוטיפיי רוצה לשדרג לכם את הרכב: בדקנו את ה-Car Thing,Spotify wants to upgrade your car: we tested the Car Thing
130,news,business-11918180.news,הערכות האנליסטים מדברות על שיעור העלאה שנע בין 0.25% ל־0.5%.,The analysts’ estimates mention an increase rate ranging from 0.25% to 0.5%.
158,news,business-11924445.news,"המחיר החדש לליטר בנזין 95 אוקטן, יעמוד על-8.08 ומי שיבקש להינות משירות מלא, יידרש לשלם עוד 21 אגורות לליטר.","The new price per liter of 95 octane gasoline will be 8.08 NIS and those who wish to enjoy full service, will be requested to pay an extra 21 agorot per liter."
220,news,business-6678547.news,"לשכירים רבים מגיע כסף מהמדינה, שיכול להגיע לעשרות אלפי שקלים •","Many employees are entitled to receive funds from the state, that can reach tens of thousands of NIS •"
221,news,business-6678547.news,שיניתם מקום עבודה?,Have you changed place of work?
224,news,business-6678547.news,ייתכן שאתם זכאים לקבל סכום לא מבוטל בהליך פשוט •,You may be entitled to receive a significant amount following a simple procedure •
227,news,business-6678547.news,"מבקר המדינה ציין בדו""ח מלפני כחודשיים כי שני מיליון שכירים זכאים להחזרי מס בגובה של 3.6 מילארד שקלים, מה שאומר שכדאי גם לכם לבדוק האם אתם זכאים לקבל החזרי מס.","The State Comptroller stated in a report published about two months ago, that two million employees are entitled to tax refunds of 3.6 billion NIS, meaning you should also check whether you are entitled to receive tax refunds."
267,news,business-6693072.news,"מאידך, למרות משבר הקורונה, השכר בשנת 2021 עלה ב-2% בהשוואה לשנת 2020, והשכר הממוצע בישראל עמד על 11,675 שקלים ברוטו.","On the other hand, despite the Corona Virus crisis, wages in 2021 increased by 2% compared to 2020, and the average gross salary in Israel was 11,675 NIS."
301,news,celebrities-10425290.news,הקידוש והמסורת הם שורש מאוד עמוק בנשמה שלי.,Saturday’s sanctification and tradition are deeply rooted in my soul.
359,news,celebrities-7966246.news,ביבי השתתפה בעונה האחרונה של ״אקס פקטור״ וסיימה במקום השלישי •,Bibi participated in the last season of ״X Factor״ and finished in third place •
364,news,celebrities-7966246.news,"ביבי תשחק בתפקיד נועה, שאותו גילמה דפנה ארמוני.","Ms. Bibi will play the role of Noa, played by Dafna Armoni"
387,news,culture-11927371.news,"""כשהתחלנו היינו מבוהלות, הרבה קורה לנו בחיים ואי אפשר לתחום הכל בפשטות לנרטיב של התחלה, אמצע וסוף.","""When we started we were terrified, a lot is happening to us in life and you can’t simply limit everything to a narrative of beginning, middle and end."
404,news,culture-11928547.news,"להקת אפגן וויגז, שלומי שבן, נגה ארז, אביתר בנאי ו-Tess הם בין השמות שייקחו חלק בפסטיבל אינדינגב, שיתקיים בין ה-20 ל-22 באוקטובר.","The Afghan Whigs band, Shlomi Shaban, Noga Erez, Eviatar Banai and Tess are among the names that will take part in the InDNegev festival, which will take place from October 20 to October 22."
415,news,culture-11929079.news,הראשון הוא ARTISTA - תערוכת מיצגים מוארים במרחב הציבורי (עיצוב: פיליפ בלאו) עם דמויות מגלקסיות אחרות שיסתובבו בין המבקרים בתוך מבנה ויציגו הרפתקה שלמה באור וגם בלילה.,The first is ARTISTA—an exhibition of lighted performances in the public common spaces (design: Philip Blau) with characters from other galaxies that will mingle among the visitors inside a building and present a complete adventure in light and at night.
491,news,culture-8883085.news,"הזמר בתגובה: ""הפלישה לאוקראינה שונה מאוד מהקונפליקט הישראלי-פלשתיני","The singer responded: ""The invasion of Ukraine is very different from the Israeli-Palestinian conflict"
496,news,culture-8883085.news,"מעריץ טורקי בשם אחמט הטיח בזמר שהוא צבוע, שכן ב-2017 סירב קייב לבטל שתי הופעות שהתקיימו בישראל, למרות הביקורת הרבה שספג מטעם ארגונים פרו-פלשתיניים.","A Turkish fan named Ahmet announced the singer to be a hypocrite, since in 2017 Cave refused to cancel two concerts that took place in Israel, despite the heavy criticism he received from pro-Palestinian organizations."
519,news,health-10745162.news,"""אני שמח למען אזרחי ישראל שגל האומיקרון ממשיך לדעוך ושקיבלנו את אורח חיינו הרגיל בחזרה"", אמר פרופ' זרקא, והוסיף: ""עדיין חובתנו להיערך לגל תחלואה נוסף כנגזרת מכך שהנגיף עודנו כאן, בישראל וברחבי העולם"".","“I am happy for the sake of the citizens of Israel that the Omicron wave continues to fade and that we got our normal way of life back”, said Prof. Zarka, adding: “It is still our duty to prepare for another wave of morbidity as a result of the fact that the virus is still here, in Israel and around the world”."
531,news,health-10777187.news,"ליקוי נוסף שנמצא נוגע לכך שמאז שהוועדה החלה את פעילות, משרד הבריאות לא ביקש מקופות החולים דיווחים על היקף השימושים וניצול התרופות שבסל – מה שהיה מאפשר לנתח ולבקר את התקציב שניתן להן.","Another discrepancy found relates to the fact that ever since the committee began its activities, the Ministry of Health has not asked the health funds for reports on the scope of uses and utilization of the medicines in the basket – which would have allowed for the analysis and control of the budget given to them."
605,news,health-10797578.news,"יו""ר ועד הרופאים התלונן שהמנהלת, ד""ר אנגל, הוזהרה טרם מינויו •","The chairman of the doctors’ committee complained that the director, Dr. Engel, was warned before his appointment •"
606,news,health-10797578.news,"ביה""ח: ""הוא מוערך ומנוסה""",Hospital: “He is valued and experienced”
608,news,health-10797578.news,הניתוח בחולה סרטן ריאה בן 83 נערך ב־19 באפריל.,The surgery on an 83-year-old lung cancer patient was conducted on April 19.
642,news,health-6931611.news,בשביל זה אנחנו כאן.,That’s what we’re here for.
644,news,health-6931611.news,נאחל לכולם להיות חיוביים בחיים ושליליים בבדיקות הקורונה - וכמובן רפואה שלמה והמון בריאות.,"We wish everyone to be positive in life and negative in the Corona Virus tests—and of course, perfect healing and good health."
716,news,health-6935580.news,בעקבות ריבוי המאושפזים: בהדסה נערכים לפתיחת מחלקת קורונה שלישית,Due to the large number of hospitalized people: Hadassah is preparing to open a third Corona-virus ward
734,news,health-6944162.news,רשלנות רפואית בשלבי הלידה השונים,Medical negligence in the various stages of childbirth
740,news,health-6944162.news,"יש להדגיש, כי לא כל טעות בטיפול מצד הצוות הרפואי עולה כדי רשלנות (במובן המשפטי של מונח זה) וכי סיבוכים שונים במהלך הלידה אינם מלמדים בהכרח שניהולה היה רשלני.",It must be emphasized that not every error in treatment by the medical staff amounts to negligence (in the legal sense of this term) and that various complications during childbirth do not necessarily indicate that its management was negligent.
820,news,health-6945555.news,"מחקר מהתקופה האחרונה, שעסק בהפיכת צורת הקרנית מכיפה לחרוט, גילה שהסיבה למחלה ולחולשה של הקרנית ולהתעוותות הצורה שלה קשורה לחוסר איזון אנזימי, שבעקבותיו הרדיקלים החופשיים עלולים לפגוע בחלבונים שבקרנית - והמבנה שלה ישתנה.","A recent study, which was concerned with changing the shape of the cornea from a dome to a cone, revealed that the cause of the disease and the weakness of the cornea and the distortion of its shape is related to an enzymatic imbalance, as a result of which the free radicals may damage the proteins in the cornea – and its structure will change."
987,news,internal-10933301.news,• בשעה 10:05 תופעל התרעה על ירי רקטות וטילים ביישוב גני תקווה.,• At 10:05 an alert will be activated about the firing of rockets and missiles in the settlement of Ganei Tikva.
998,news,internal-11921820.news,"הכוחות פעלו במספר מוקדים ברחבי אוגדת יהודה ושומרון למעצר מבוקשים, בין היתר בכפר ראשידה ובעיר שכם.","The forces focused in several regions throughout the Judea and Samaria Division to arrest wanted persons, including the village of Rashida and the city of Nablus."
1001,news,internal-11921820.news,זוהתה פגיעה.,A hit has been detected.
1077,news,internal-11928232.news,הטרור העממי מתמקד בפגיעה באזרחים ומטרתו לערער את תחושת הביטחון הדרושה לניהול חיים תקינים של אוכלוסייה אזרחית.,Popular terrorism focuses on harming civilians and aims to undermine the sense of security vital to leading a normal life of a civilian population.
