pair,strategy,sentence_index_0based,has_public_source_reference,alignment_similarity,sample_id,source_text,reference_translation,meprs_model,meprs_model_name,bleurt_best_model,bleurt_best_model_name,best_single_model_for_condition,best_single_model_name,meprs_bleurt,bleurt_best_score,gap_to_bleurt_best,gap_to_best_single_model_at_sentence,meprs_reviewer_sum,bleurt_best_reviewer_sum,meprs_translation,bleurt_best_translation,reviewer_note_zh
en-he,it,193,True,0.9756,travel-6742632.news,Israel’s largest airline reports an increase in demand for flights abroad since yesterday’s announcement of the significant concessions for airline passengers.,"חברת התעופה הגדולה בישראל מדווחת על עלייה בביקושים לטיסות לחו""ל מאז ההודעה אתמול על ההקלות המשמעותיות לטסים.",G35,GPT-3.5-Turbo,C35,Claude-3.5-Sonnet,C35,Claude-3.5-Sonnet,5.051334947347641,92.73234605789185,87.6810111105442,87.6810111105442,0.0,0.0,המקרה שלך:,"חברת התעופה הגדולה בישראל מדווחת על עלייה בביקוש לטיסות לחו""ל מאז ההודעה אתמול על ההקלות המשמעותיות לנוסעי חברות התעופה.",
en-zh,tear,83,True,1.0,office_product-4-zh_0292700-89,"The caliber is subpar, It is inferior to 925-25, if the topic is writing",质量没的说，若论写字，不如925-25,G35,GPT-3.5-Turbo,C35,Claude-3.5-Sonnet,C35,Claude-3.5-Sonnet,41.062355041503906,72.18798398971558,31.12562894821167,31.12562894821167,0.0,0.0,口径不佳，比925-25差，如果是写作主题。,质量低劣，如果谈的是写作的话，远不如925-25。,
en-ru,it,26,True,1.0,ecommerce_en_49,Exposure and focus have to be adjusted manually.,Экспозицию и фокус необходимо настраивать вручную.,G35,GPT-3.5-Turbo,C3,Claude-3-Opus,C35,Claude-3.5-Sonnet,73.8656759262085,97.70897030830383,23.843294382095337,18.424564599990845,0.0,0.0,Ваш случай: Источник: Экспозиция и фокус должны быть настроены вручную.,Экспозицию и фокус необходимо настраивать вручную.,
he-en,tear,25,True,0.9268,internal-11928232.news,הטרור העממי מתמקד בפגיעה באזרחים ומטרתו לערער את תחושת הביטחון הדרושה לניהול חיים תקינים של אוכלוסייה אזרחית.,Popular terrorism focuses on harming civilians and aims to undermine the sense of security vital to leading a normal life of a civilian population.,G35,GPT-3.5-Turbo,C35,Claude-3.5-Sonnet,C3,Claude-3-Opus,69.59644556045532,89.70164060592651,20.10519504547119,11.035996675491333,0.0,0.0,"Civilian terrorism focuses on targeting civilians, aiming to challenge the necessary sense of security required for the proper management of the lives of a civilian population.",Popular terrorism focuses on harming civilians and aims to undermine the sense of security necessary for maintaining normal lives of the civilian population.,
en-de,tear,164,True,1.0,hupfen.110347875196018000,...And that's how I found myself having to sort out a raid group roster.,"… Und so kam es, dass ich eine Raid-Gruppenliste ausarbeiten musste.",G35,GPT-3.5-Turbo,C35,Claude-3.5-Sonnet,C3,Claude-3-Opus,53.05778384208679,71.14999890327454,18.092215061187744,-14.386415481567383,0.0,0.0,"Und so fand ich mich wieder dabei, eine Raid-Gruppenliste sortieren zu müssen.","...Und so kam es, dass ich plötzlich einen Schlachtzugsgruppen-Kader zusammenstellen musste.",
en-zh,it,94,True,0.9818,rfi-chinese.19798,"On Saturday, February 11, the French labor unions launched another nationwide mobilization against the government's retirement pension reform draft, calling on the public to take to the streets and express their opinions.",周六(2月 11日 )，法国工会再次发起反对政府退休金改革草案全国动员，呼吁民众走上街头，表达意见。,G35,GPT-3.5-Turbo,GP,Gemini-Pro,C35,Claude-3.5-Sonnet,70.15128135681152,82.49884247779846,12.347561120986938,9.120529890060425,0.0,0.0,你的案例： 来源：2月11日星期六，法国工会再次发起全国范围内的抗议活动，反对政府的退休金改革草案，并呼吁公众走上街头表达他们的意见。,星期六，2 月 11 日，法国工会再次发动全国动员，反对政府的退休金改革草案，呼吁公众走上街头表达意见。,
he-en,it,191,True,1.0,culture-11929702.ugc,מי זה?!,Who is he?!,G35,GPT-3.5-Turbo,GP,Gemini-Pro,G4o,GPT-4o,51.789337396621704,63.528889417648315,11.739552021026611,11.006408929824829,0.0,0.0,Who is it?!,Who is that?!,
en-ru,it,189,True,1.0,en_fr_CLIENT-02_default_2020-12-27-11_doc09,Please let me know what is your #PRS_ORG# model,"Сообщите мне, какая у Вас модель #PRS_ORG#",G35,GPT-3.5-Turbo,C3,Claude-3-Opus,C35,Claude-3.5-Sonnet,78.51765751838684,89.20735716819763,10.689699649810791,10.689699649810791,0.0,0.0,"Ваш случай: Источник: Пожалуйста, дайте мне знать, какая у вас модель #PRS_ORG#","Пожалуйста, сообщите мне, какая у вас модель #PRS_ORG#",
en-ru,it,89,True,1.0,cnn.81799,"Rice's son, Christopher Rice, said he was at his mother's bedside when she died.","Сын Райс, Кристофер Райс сообщил, что был возле кровати матери, когда она умерла.",G35,GPT-3.5-Turbo,C35,Claude-3.5-Sonnet,C35,Claude-3.5-Sonnet,71.01706862449646,81.63222670555115,10.615158081054688,10.615158081054688,0.0,0.0,"Ваше дело: Райсов сын, Кристофер Райс, сказал, что был у постели своей матери, когда она умерла.","Сын Райс, Кристофер Райс, сказал, что был у постели матери, когда она умерла.",
en-de,it,0,True,1.0,pamela.110349799698679008,I swear burrata didn't exist five years ago,"Ich schwöre, Burrata gab es vor fünf Jahren noch nicht",G4o,GPT-4o,C3,Claude-3-Opus,C35,Claude-3.5-Sonnet,86.63299083709717,95.94456553459167,9.311574697494507,9.311574697494507,0.8361838459968567,0.8361838459968567,"Ich schwöre, Burrata gab es vor fünf Jahren nicht.","Ich schwöre, Burrata gab es vor fünf Jahren noch nicht.",
