item_id,pair,strategy,source_text,reference_translation,candidate_label,candidate_translation,adequacy_1_5,fluency_1_5,overall_preference_A_B_Tie,error_type,comments
1,en-he,it,Israel’s largest airline reports an increase in demand for flights abroad since yesterday’s announcement of the significant concessions for airline passengers.,"חברת התעופה הגדולה בישראל מדווחת על עלייה בביקושים לטיסות לחו""ל מאז ההודעה אתמול על ההקלות המשמעותיות לטסים.",A,המקרה שלך:,,,,,
1,en-he,it,Israel’s largest airline reports an increase in demand for flights abroad since yesterday’s announcement of the significant concessions for airline passengers.,"חברת התעופה הגדולה בישראל מדווחת על עלייה בביקושים לטיסות לחו""ל מאז ההודעה אתמול על ההקלות המשמעותיות לטסים.",B,"חברת התעופה הגדולה בישראל מדווחת על עלייה בביקוש לטיסות לחו""ל מאז ההודעה אתמול על ההקלות המשמעותיות לנוסעי חברות התעופה.",,,,,
2,en-zh,tear,"The caliber is subpar, It is inferior to 925-25, if the topic is writing",质量没的说，若论写字，不如925-25,A,口径不佳，比925-25差，如果是写作主题。,,,,,
2,en-zh,tear,"The caliber is subpar, It is inferior to 925-25, if the topic is writing",质量没的说，若论写字，不如925-25,B,质量低劣，如果谈的是写作的话，远不如925-25。,,,,,
3,en-ru,it,Exposure and focus have to be adjusted manually.,Экспозицию и фокус необходимо настраивать вручную.,A,Экспозицию и фокус необходимо настраивать вручную.,,,,,
3,en-ru,it,Exposure and focus have to be adjusted manually.,Экспозицию и фокус необходимо настраивать вручную.,B,Ваш случай: Источник: Экспозиция и фокус должны быть настроены вручную.,,,,,
4,he-en,tear,הטרור העממי מתמקד בפגיעה באזרחים ומטרתו לערער את תחושת הביטחון הדרושה לניהול חיים תקינים של אוכלוסייה אזרחית.,Popular terrorism focuses on harming civilians and aims to undermine the sense of security vital to leading a normal life of a civilian population.,A,Popular terrorism focuses on harming civilians and aims to undermine the sense of security necessary for maintaining normal lives of the civilian population.,,,,,
4,he-en,tear,הטרור העממי מתמקד בפגיעה באזרחים ומטרתו לערער את תחושת הביטחון הדרושה לניהול חיים תקינים של אוכלוסייה אזרחית.,Popular terrorism focuses on harming civilians and aims to undermine the sense of security vital to leading a normal life of a civilian population.,B,"Civilian terrorism focuses on targeting civilians, aiming to challenge the necessary sense of security required for the proper management of the lives of a civilian population.",,,,,
5,en-de,tear,...And that's how I found myself having to sort out a raid group roster.,"… Und so kam es, dass ich eine Raid-Gruppenliste ausarbeiten musste.",A,"...Und so kam es, dass ich plötzlich einen Schlachtzugsgruppen-Kader zusammenstellen musste.",,,,,
5,en-de,tear,...And that's how I found myself having to sort out a raid group roster.,"… Und so kam es, dass ich eine Raid-Gruppenliste ausarbeiten musste.",B,"Und so fand ich mich wieder dabei, eine Raid-Gruppenliste sortieren zu müssen.",,,,,
6,en-zh,it,"On Saturday, February 11, the French labor unions launched another nationwide mobilization against the government's retirement pension reform draft, calling on the public to take to the streets and express their opinions.",周六(2月 11日 )，法国工会再次发起反对政府退休金改革草案全国动员，呼吁民众走上街头，表达意见。,A,星期六，2 月 11 日，法国工会再次发动全国动员，反对政府的退休金改革草案，呼吁公众走上街头表达意见。,,,,,
6,en-zh,it,"On Saturday, February 11, the French labor unions launched another nationwide mobilization against the government's retirement pension reform draft, calling on the public to take to the streets and express their opinions.",周六(2月 11日 )，法国工会再次发起反对政府退休金改革草案全国动员，呼吁民众走上街头，表达意见。,B,你的案例： 来源：2月11日星期六，法国工会再次发起全国范围内的抗议活动，反对政府的退休金改革草案，并呼吁公众走上街头表达他们的意见。,,,,,
7,he-en,it,מי זה?!,Who is he?!,A,Who is it?!,,,,,
7,he-en,it,מי זה?!,Who is he?!,B,Who is that?!,,,,,
8,en-ru,it,Please let me know what is your #PRS_ORG# model,"Сообщите мне, какая у Вас модель #PRS_ORG#",A,"Ваш случай: Источник: Пожалуйста, дайте мне знать, какая у вас модель #PRS_ORG#",,,,,
8,en-ru,it,Please let me know what is your #PRS_ORG# model,"Сообщите мне, какая у Вас модель #PRS_ORG#",B,"Пожалуйста, сообщите мне, какая у вас модель #PRS_ORG#",,,,,
9,en-ru,it,"Rice's son, Christopher Rice, said he was at his mother's bedside when she died.","Сын Райс, Кристофер Райс сообщил, что был возле кровати матери, когда она умерла.",A,"Ваше дело: Райсов сын, Кристофер Райс, сказал, что был у постели своей матери, когда она умерла.",,,,,
9,en-ru,it,"Rice's son, Christopher Rice, said he was at his mother's bedside when she died.","Сын Райс, Кристофер Райс сообщил, что был возле кровати матери, когда она умерла.",B,"Сын Райс, Кристофер Райс, сказал, что был у постели матери, когда она умерла.",,,,,
10,en-de,it,I swear burrata didn't exist five years ago,"Ich schwöre, Burrata gab es vor fünf Jahren noch nicht",A,"Ich schwöre, Burrata gab es vor fünf Jahren nicht.",,,,,
10,en-de,it,I swear burrata didn't exist five years ago,"Ich schwöre, Burrata gab es vor fünf Jahren noch nicht",B,"Ich schwöre, Burrata gab es vor fünf Jahren noch nicht.",,,,,
11,de-en,tear,"Könnte es sein, dass die Google Suche in Google Maps integriert ist?",Could it be that Google Search is integrated with Google Maps?,A,Could it be that the Google search is incorporated into Google Maps?,,,,,
11,de-en,tear,"Könnte es sein, dass die Google Suche in Google Maps integriert ist?",Could it be that Google Search is integrated with Google Maps?,B,Could it be that Google Search is integrated into Google Maps?,,,,,
12,de-en,it,"Je mehr ich über Studien zu Sex, Geschlecht und Psychologie lese, desto eher scheint die Aussage „Ich bin männlich, mein Geschlecht ist weiblich“ vereinfacht und ungenau zu sein. Es scheint fast, als würde man einen Teil der These dem TERF überlassen. Ich denke, dass transsexuell zu sein bedeutet, „biologisch nicht-binär“ zu sein. Ich bin nicht-binär, mein Geschlecht ist weiblich.","The more I read of studies on sex, gender, psychology, the more the statement of ""My sex is male, my gender is female"" seems simplistic and inaccurate. It almost seems like ceding part of an argument to TERFs. I feel that to be trans is to be ""biologically non-binary"". My sex is non-binary, my gender is female.",A,"The more I read about studies on sex, gender, and psychology, the more the statement ""I am male, my gender is female"" seems simplistic and inaccurate. It almost seems like leaving part of the argument to the TERF. I think being transgender means being ""biologically non-binary"". I am non-binary, my gender is female.",,,,,
12,de-en,it,"Je mehr ich über Studien zu Sex, Geschlecht und Psychologie lese, desto eher scheint die Aussage „Ich bin männlich, mein Geschlecht ist weiblich“ vereinfacht und ungenau zu sein. Es scheint fast, als würde man einen Teil der These dem TERF überlassen. Ich denke, dass transsexuell zu sein bedeutet, „biologisch nicht-binär“ zu sein. Ich bin nicht-binär, mein Geschlecht ist weiblich.","The more I read of studies on sex, gender, psychology, the more the statement of ""My sex is male, my gender is female"" seems simplistic and inaccurate. It almost seems like ceding part of an argument to TERFs. I feel that to be trans is to be ""biologically non-binary"". My sex is non-binary, my gender is female.",B,"Your case: The more I read about studies on sex, gender, and psychology, the more the statement ""I am male, my gender is female"" seems simplified and inaccurate. It almost seems as if one would leave a part of the thesis to the TERF. I think that being transgender means being ""biologically non-binary."" I am non-binary, my gender is female.",,,,,
13,en-de,tear,I often wonder at the human capacity to be *so* down on oneself while inundated by so much evidence of what actual cruelty looks like.,"Ich wundere mich oft über die menschliche Fähigkeit, *so* selbstkritisch zu sein, während man mit so vielen Belegen für echte Grausamkeit überflutet wird.",A,"Ich wundere mich oft über die menschliche Fähigkeit, *so* kritisch mit sich selbst zu sein, während man von so vielen Beweisen für die tatsächliche Grausamkeit überschwemmt wird.",,,,,
13,en-de,tear,I often wonder at the human capacity to be *so* down on oneself while inundated by so much evidence of what actual cruelty looks like.,"Ich wundere mich oft über die menschliche Fähigkeit, *so* selbstkritisch zu sein, während man mit so vielen Belegen für echte Grausamkeit überflutet wird.",B,"Ich frage mich oft über die menschliche Fähigkeit, so sehr auf sich selbst herabzublicken, während man von so vielen Beweisen dessen umgeben ist, wie wirkliche Grausamkeit aussieht.",,,,,
14,en-he,it,Someone here missed an important detail,מישהו פה פספס פרט חשוב,A,המקרה שלך: מישהו כאן פספס פרט חשוב,,,,,
14,en-he,it,Someone here missed an important detail,מישהו פה פספס פרט חשוב,B,מישהו פה פספס פרט חשוב,,,,,
15,en-zh,tear,"I will recognize it and purchase a number of these if I only come across one like it, when I contacted Amazon customer service, they informed me that the shipping price may be reimbursed but that it would first need to be paid and would then be given to me in the form of a gift card.",如果我只是碰到一个这样的，我认了，买了几个都是这样子，找亚马逊客服，客服就说可以退，但运费垫付，然后运费以礼品卡的形式返回给我。,A,"如果我碰巧遇到一个类似的产品,我会认出它并购买多个;当我联系亚马逊客户服务时,他们告诉我运费可以报销,但需要先支付,然后以礼品卡的形式返还给我。",,,,,
15,en-zh,tear,"I will recognize it and purchase a number of these if I only come across one like it, when I contacted Amazon customer service, they informed me that the shipping price may be reimbursed but that it would first need to be paid and would then be given to me in the form of a gift card.",如果我只是碰到一个这样的，我认了，买了几个都是这样子，找亚马逊客服，客服就说可以退，但运费垫付，然后运费以礼品卡的形式返回给我。,B,当我只遇到一个像这样的情况时，我会认出它并购买一些，当我联系亚马逊客服时，他们告诉我运费可能会被报销，但首先需要支付，然后以礼品卡的形式给我。,,,,,
16,en-ru,tear,,,A,"Спасибо за обращение в #PRS_ORG#, мне было приятно помочь вам сегодня.",,,,,
16,en-ru,tear,,,B,"Спасибо, что обратились в #PRS_ORG#, я была рада помочь вам сегодня.",,,,,
17,en-ru,tear,"Please kindly fill this in if you have a moment, however if you don't have time then may I wish you a wonderful day and thank you again.","Пожалуйста, заполните ее, если у Вас есть свободное время, однако, если Вам некогда, желаю Вам хорошего дня и снова благодарю Вас.",A,"Пожалуйста, будьте добры заполнить это, если у вас есть время, однако если у вас нет времени, то желаю вам прекрасного дня и еще раз благодарю вас.",,,,,
17,en-ru,tear,"Please kindly fill this in if you have a moment, however if you don't have time then may I wish you a wonderful day and thank you again.","Пожалуйста, заполните ее, если у Вас есть свободное время, однако, если Вам некогда, желаю Вам хорошего дня и снова благодарю Вас.",B,"Пожалуйста, заполните это, если у вас есть минутка, но если у вас нет времени, позвольте пожелать вам замечательного дня и еще раз спасибо.",,,,,
18,en-de,tear,Could it be that Google Search is integrated with Google Maps?,"Könnte es sein, dass die Google Suche in Google Maps integriert ist?",A,"Könnte es sein, dass die Google-Suche mit Google Maps integriert ist?",,,,,
18,en-de,tear,Could it be that Google Search is integrated with Google Maps?,"Könnte es sein, dass die Google Suche in Google Maps integriert ist?",B,"Könnte es sein, dass die Google-Suche in Google Maps integriert ist?",,,,,
19,en-ru,tear,I will be more than happy to assist you.,Для меня было бы большей радостью помочь Вам.,A,Я буду очень рад помочь вам.,,,,,
19,en-ru,tear,I will be more than happy to assist you.,Для меня было бы большей радостью помочь Вам.,B,Я буду более чем рад помочь вам.,,,,,
20,de-en,it,Bidens Justizministerium „will keine bewaffneten Bürger“,Biden DOJ 'Doesn't Want an Armed Citizenry',A,"Biden's Justice Department ""does not want armed citizens""",,,,,
20,de-en,it,Bidens Justizministerium „will keine bewaffneten Bürger“,Biden DOJ 'Doesn't Want an Armed Citizenry',B,"Biden's Justice Department ""doesn't want armed citizens""",,,,,
21,de-en,tear,Bidens Justizministerium „will keine bewaffneten Bürger“,Biden DOJ 'Doesn't Want an Armed Citizenry',A,"Biden's Justice Department ""doesn't want armed citizens""",,,,,
21,de-en,tear,Bidens Justizministerium „will keine bewaffneten Bürger“,Biden DOJ 'Doesn't Want an Armed Citizenry',B,"Biden's Justice Department ""does not want armed citizens""",,,,,
22,en-he,it,Musk is waiting for Trump’s return: “It was wrong to block him”,"מאסק מחכה לשובו של טראמפ: ""לא היה נכון לחסום אותו""",A,"מאסק מחכה לחזרתו של טראמפ: ""זה היה מוטעה לחסום אותו""",,,,,
22,en-he,it,Musk is waiting for Trump’s return: “It was wrong to block him”,"מאסק מחכה לשובו של טראמפ: ""לא היה נכון לחסום אותו""",B,"מאסק מחכה לחזרתו של טראמפ: ""היה זה שגוי לחסום אותו""",,,,,
23,ru-en,tear,"Когда она начала осознавать себя, она не знала ничего, кроме ношения масок, постоянного мытья рук и поддержания дистанции.","Since she became properly aware she has known nothing but mask wearing, obsessive hand washing and keeping your distance.",A,"When she began to become self-aware, she knew nothing but wearing masks, constant hand washing, and maintaining distance.",,,,,
23,ru-en,tear,"Когда она начала осознавать себя, она не знала ничего, кроме ношения масок, постоянного мытья рук и поддержания дистанции.","Since she became properly aware she has known nothing but mask wearing, obsessive hand washing and keeping your distance.",B,"When she began to become aware of herself, she knew nothing except wearing masks, constantly washing her hands, and maintaining distance.",,,,,
24,de-en,tear,"Je mehr ich über Studien zu Sex, Geschlecht und Psychologie lese, desto eher scheint die Aussage „Ich bin männlich, mein Geschlecht ist weiblich“ vereinfacht und ungenau zu sein. Es scheint fast, als würde man einen Teil der These dem TERF überlassen. Ich denke, dass transsexuell zu sein bedeutet, „biologisch nicht-binär“ zu sein. Ich bin nicht-binär, mein Geschlecht ist weiblich.","The more I read of studies on sex, gender, psychology, the more the statement of ""My sex is male, my gender is female"" seems simplistic and inaccurate. It almost seems like ceding part of an argument to TERFs. I feel that to be trans is to be ""biologically non-binary"". My sex is non-binary, my gender is female.",A,"The more I read about studies on sex, gender, and psychology, the more the statement ""I am male, my gender is female"" seems simplified and inaccurate. It almost seems as if one would leave a part of the thesis to the TERF. I think that being transsexual means to be ""biologically non-binary."" I am non-binary, my gender is female.",,,,,
24,de-en,tear,"Je mehr ich über Studien zu Sex, Geschlecht und Psychologie lese, desto eher scheint die Aussage „Ich bin männlich, mein Geschlecht ist weiblich“ vereinfacht und ungenau zu sein. Es scheint fast, als würde man einen Teil der These dem TERF überlassen. Ich denke, dass transsexuell zu sein bedeutet, „biologisch nicht-binär“ zu sein. Ich bin nicht-binär, mein Geschlecht ist weiblich.","The more I read of studies on sex, gender, psychology, the more the statement of ""My sex is male, my gender is female"" seems simplistic and inaccurate. It almost seems like ceding part of an argument to TERFs. I feel that to be trans is to be ""biologically non-binary"". My sex is non-binary, my gender is female.",B,"The more I read about studies on sex, gender, and psychology, the more the statement ""I am male, my gender is female"" seems simplified and inaccurate. It almost seems like leaving part of the argument to TERFs (Trans-Exclusionary Radical Feminists). I think being transsexual means being ""biologically non-binary."" I am non-binary, my gender is female.",,,,,
25,de-en,tear,"Das wäre hauptsächlich zum Surfen im Internet, ab und zu für E-Mails und einige Spiele.","This would be mainly for web browsing, occasional email, and some games.",A,"That would mainly be for internet surfing, occasionally for emails, and some games.",,,,,
25,de-en,tear,"Das wäre hauptsächlich zum Surfen im Internet, ab und zu für E-Mails und einige Spiele.","This would be mainly for web browsing, occasional email, and some games.",B,"That would be mainly for surfing the internet, occasionally checking emails, and playing some games.",,,,,
26,en-ru,tear,Posters are sent in a sturdy carded A5 envelope.,Плакаты поставляются в твердом конверте формата A5.,A,Плакаты отправляются в прочном картонном конверте формата А5.,,,,,
26,en-ru,tear,Posters are sent in a sturdy carded A5 envelope.,Плакаты поставляются в твердом конверте формата A5.,B,Плакаты отправляются в прочном картонном конверте формата A5.,,,,,
27,en-ru,it,Tap Accounts.,Нажмите «Учетные записи».,A,Ваш случай: Источник: Нажмите на учетные записи.,,,,,
27,en-ru,it,Tap Accounts.,Нажмите «Учетные записи».,B,Нажмите «Счета».,,,,,
28,ru-en,tear,Нажмите «Настройки».,Tap Settings.,A,Press Settings.,,,,,
28,ru-en,tear,Нажмите «Настройки».,Tap Settings.,B,"Click ""Settings"".",,,,,
29,en-zh,tear,Tell me at least whether it's nice or awful!,你好歹告诉一声，到底是好的还是坏的啊！,A,至少告诉我它是好还是糟糕吧！,,,,,
29,en-zh,tear,Tell me at least whether it's nice or awful!,你好歹告诉一声，到底是好的还是坏的啊！,B,请告诉我至少是好还是糟糕！,,,,,
30,en-de,tear,Been toying with this thought for a little while:,Mit diesem Gedanken schon eine Weile gespielt:,A,Habe schon eine Weile mit diesem Gedanken gespielt.,,,,,
30,en-de,tear,Been toying with this thought for a little while:,Mit diesem Gedanken schon eine Weile gespielt:,B,Habe eine Weile mit diesem Gedanken gespielt.,,,,,
31,de-en,it,In meiner Jugend war ich ein unersättlicher Leser. Dann hat das Leben meine Seele zerstört und ich habe all meine Leidenschaft für Literatur und tolle Erzählungen verloren.,"I was a voracious reader in my youth. Then, life crushed my soul and I lost all my passion for fiction and great storytelling.",A,"In my youth, I was an insatiable reader. Then life destroyed my soul, and I lost all my passion for literature and great stories.",,,,,
31,de-en,it,In meiner Jugend war ich ein unersättlicher Leser. Dann hat das Leben meine Seele zerstört und ich habe all meine Leidenschaft für Literatur und tolle Erzählungen verloren.,"I was a voracious reader in my youth. Then, life crushed my soul and I lost all my passion for fiction and great storytelling.",B,"In my youth, I was an insatiable reader. Then life destroyed my soul and I lost all my passion for literature and great stories.",,,,,
32,ru-en,it,"Информация и заявления о продуктах не предназначены для использования в качестве диагноза, лечения или профилактики какого-либо заболевания или состояния здоровья.","Information and statements about products are not intended to be used to diagnose, treat, cure, or prevent any disease or health condition.",A,"Information and statements about products are not intended to be used as a diagnosis, treatment, or prevention of any disease or health condition.",,,,,
32,ru-en,it,"Информация и заявления о продуктах не предназначены для использования в качестве диагноза, лечения или профилактики какого-либо заболевания или состояния здоровья.","Information and statements about products are not intended to be used to diagnose, treat, cure, or prevent any disease or health condition.",B,"Information and statements about products are not intended to be used as a diagnosis, treatment or prevention of any disease or health condition.",,,,,
33,ru-en,tear,Нажмите «Настройки».,Tap Settings.,A,"## Click ""Settings"".  ",,,,,
33,ru-en,tear,Нажмите «Настройки».,Tap Settings.,B,"Click ""Settings"".",,,,,
34,ru-en,tear,Много лет назад я работал в мебельной мастерской.,"Years ago, I worked at a cabinet shop.",A,"Many years ago, I worked in a furniture workshop.",,,,,
34,ru-en,tear,Много лет назад я работал в мебельной мастерской.,"Years ago, I worked at a cabinet shop.",B,Many years ago I worked in a furniture workshop.,,,,,
35,en-zh,tear,Note:,注意,A,注意:,,,,,
35,en-zh,tear,Note:,注意,B,注意：,,,,,
