local_pair,local_sentence_index_0based,external_direction,best_similarity,match_method,local_model,local_strategy,local_matched_text,external_matched_text,best_target_index,external_column,external_sample_domain,external_sample_id,external_src,external_ref
zh-en-new,0,zh-en,0.9492,token_f1,C3,it,"The clothes are well made, but due to the small size, I had to return them. However, it's been over a week since I returned the goods, and I still haven't received a refund.","The clothes were well made, but due to the small size, I had to return them. However, it's been over a week since I returned them and I still haven't received a refund?",1262,GPT4-5shot,user_review,apparel-3-zh_0075255-118,衣服做工不错，因为版型偏小，只得退货，但是退了货以后，至今一个多星期过去了，还没有收到退款？,"The garments are well-made, but I had to return them because the size was too small, more than a week has passed since I returned the items, but I still haven't received a reimbursement?"
en-zh-new,0,zh-en,0.9492,token_f1,C3,it,"The clothes are well made, but due to the small size, I had to return them. However, it's been over a week since I returned the goods, and I still haven't received a refund.","The clothes were well made, but due to the small size, I had to return them. However, it's been over a week since I returned them and I still haven't received a refund?",1262,GPT4-5shot,user_review,apparel-3-zh_0075255-118,"The garments are well-made, but I had to return them because the size was too small, more than a week has passed since I returned the items, but I still haven't received a reimbursement?",衣服做工不错，因为版型偏小，只得退货，但是退了货以后，至今一个多星期过去了，还没有收到退款？
zh-en-new,1,zh-en,1.0,token_f1,G35,it,"At least tell me, is it good or bad!","At least tell me, is it good or bad?",1852,ONLINE-G,user_review,sports-1-zh_0749906-157,你好歹告诉一声，到底是好的还是坏的啊！,Tell me at least whether it's nice or awful!
en-zh-new,1,zh-en,1.0,token_f1,G35,it,"At least tell me, is it good or bad!","At least tell me, is it good or bad?",1852,ONLINE-G,user_review,sports-1-zh_0749906-157,Tell me at least whether it's nice or awful!,你好歹告诉一声，到底是好的还是坏的啊！
zh-en-new,2,zh-en,0.8667,token_f1,G35,it,"At the graduation ceremony, 10 representatives of the seminar spoke and reported on their learning experiences.","At the closing ceremony, 10 representatives of the seminar spoke and reported on their learning gains.",918,IOL_Research,news,hunan_ribao-zh.11308,结业式上，研讨班10名代表发言，汇报交流了学习收获。,"At  the closing ceremony, 10 representatives from the seminar delivered speeches, sharing their learning achievements and experiences."
zh-en-new,3,zh-en,0.3448,token_f1,C35,it,Any misconduct will result in recovery of damages and be subject to criminal prosecution.,He laughed and laughed and probably will continue to buy this brand of toys in the future.,1906,IOL_Research,user_review,toy-5-zh_0723212-60,他玩得惊笑连连～以后大概会继续买这个牌子的玩具。,He laughed and marveled while he played ~  will probably keep purchasing toys from this manufacturer.
zh-en-new,4,zh-en,0.8421,token_f1,G4o,it,"Xi Jinping replied to encourage members of the Chinese medical team aiding Central Africa to benefit the local people with benevolence and skill, and to tell China's story well through concrete actions.",Xi Jinping wrote back to encourage the members of the Chinese medical team in Central Africa to benefit the local people with benevolence and benevolence and tell China's story well with practical actions,900,IOL_Research,news,hunan_ribao-zh.11306,习近平回信勉励援中非中国医疗队队员 以仁心仁术造福当地人民 以实际行动讲好中国故事,Xi Jinping wrote back to encourage China's medical team members to benefit local people with their benevolent hearts and skills and tell the Chinese story with practical actions
zh-en-new,5,zh-en,0.2687,token_f1,G35,it,"Your case: Source: Gao Yaxuan, the person in charge of operations for popular authors in Douyin e-commerce, introduced that in the past year, 6.27 million creators have monetized their content through Douyin e-commerce, with their content creation volume increasing by 252% and total transaction volume more than doubling.","Although the names are the same, I hope that you will pay attention, and please have the right layout changed by the person in charge of Amazon in time, thank you very much.",1522,NLLB_MBR_BLEU,user_review,electronics-2-zh_0978438-79,虽然名称都是一样的，但还是希望大家能够小心注意，另外还请亚马逊负责人及时更换正确的配图，万分感谢。,"Despite the fact that the names are the same, I still hope that everyone will pay attention, to add, I also request that the Amazon administrator quickly replaces the appropriate image, I appreciate you."
zh-en-new,6,zh-en,1.0,token_f1,C35,tear,This is the fourth day of action in the social movement against the government's proposed pension system reform.,This is the fourth day of action in this social movement against the government's proposed reform of the pension system.,1069,IOL_Research,news,rfi-chinese.19798,这是这次反对政府退休金制度改革草案的社会风潮的第四个行动日。,This is the fourth day of action in the social movement against the government's retirement pension reform draft.
en-zh-new,6,zh-en,1.0,token_f1,C35,tear,This is the fourth day of action in the social movement against the government's proposed pension system reform.,This is the fourth day of action in this social movement against the government's proposed reform of the pension system.,1069,IOL_Research,news,rfi-chinese.19798,This is the fourth day of action in the social movement against the government's retirement pension reform draft.,这是这次反对政府退休金制度改革草案的社会风潮的第四个行动日。
