pair,strategy,sentence_index_0based,has_public_source_reference,alignment_similarity,sample_id,source_text,reference_translation,meprs_model,meprs_model_name,bleurt_best_model,bleurt_best_model_name,best_single_model_for_condition,best_single_model_name,meprs_bleurt,bleurt_best_score,gap_to_bleurt_best,gap_to_best_single_model_at_sentence,meprs_reviewer_sum,bleurt_best_reviewer_sum,meprs_translation,bleurt_best_translation,reviewer_note_zh
en-he,it,193,True,0.9756,travel-6742632.news,Israel’s largest airline reports an increase in demand for flights abroad since yesterday’s announcement of the significant concessions for airline passengers.,"חברת התעופה הגדולה בישראל מדווחת על עלייה בביקושים לטיסות לחו""ל מאז ההודעה אתמול על ההקלות המשמעותיות לטסים.",G35,GPT-3.5-Turbo,C35,Claude-3.5-Sonnet,C35,Claude-3.5-Sonnet,5.051334947347641,92.73234605789185,87.6810111105442,87.6810111105442,0.0,0.0,המקרה שלך:,"חברת התעופה הגדולה בישראל מדווחת על עלייה בביקוש לטיסות לחו""ל מאז ההודעה אתמול על ההקלות המשמעותיות לנוסעי חברות התעופה.",
en-de,it,3,False,,,,,G35,GPT-3.5-Turbo,C3,Claude-3-Opus,C35,Claude-3.5-Sonnet,15.184926986694336,70.17955183982849,54.994624853134155,47.24005460739136,0.0,0.0,Dein Fall:,"Mein Nachbar und ich kamen gleichzeitig nach Hause und ich konnte ihn über die Straße einen Covid-Schleimsturm hochhusten hören. Also beeilte ich mich, in meine Wohnung zu kommen, um ihm auszuweichen, aber er schaffte es trotzdem noch, mich zum Plaudern einzuholen. Ich schwöre, Covid-Infizierte sind Zombies, die versuchen, alle anderen anzustecken.",
en-de,it,39,False,,,,,G35,GPT-3.5-Turbo,GP,Gemini-Pro,C35,Claude-3.5-Sonnet,12.948194146156311,60.22846698760986,47.28027284145355,47.13330566883087,0.0,0.0,Dein Fall:,"Ihr Fall: Quelle: (PERSON6) Für die kommenden Sitzungen und ich habe nach Bedarf gefragt, weil ich die (Meme)-Projektdemo gesehen habe. Sie machen Offline-Untertitelung. Das ist also etwas einfacher als das, was wir tun. Sie haben immer noch die gleichen Segmentierungsprobleme und so weiter. Aber ihre Mission in der Übersetzung ist die Verkürzung, einfach weil die Daten kürzer werden. Und das liegt daran, dass ihre Zielgröße die Untertitel sind, die für Hörgeschädigte erstellt werden. Es gibt also eine natürliche Verkürzung in den Daten. Es wäre toll, wenn wir auch eine solche Art von Daten finden könnten, bei der eine natürliche Verkürzung stattfindet. Wir würden sie in die Architektur einbauen.",
en-he,it,165,False,,,,,G35,GPT-3.5-Turbo,G4o,GPT-4o,C35,Claude-3.5-Sonnet,44.46161985397339,79.96127009391785,35.49965023994446,23.605459928512573,0.0,0.0,המקרה שלך: נדהם שהקורונה הגיעה ונדהם שרוב האוכלוסיה מוכנסת בחומר ניסיוני שלא ידועות ההשלכות שלו לתקופה של 5-25 שנים על אלה שמוכנסים.,המקרה שלך: זה מפתיע ש-COVID הגיע וזה מפתיע שרוב האוכלוסייה מוזרקת בחומר ניסיוני שההשלכות שלו לתקופה של 5–25 שנים על המוזרקים אינן ידועות כלל.,
en-de,it,106,False,,,,,G35,GPT-3.5-Turbo,C35,Claude-3.5-Sonnet,C35,Claude-3.5-Sonnet,57.2812557220459,90.40061831474304,33.119362592697144,33.119362592697144,0.0,0.0,"Dein Fall: Quelle: Indische Regierung zieht Berufung zurück, Kühe am Valentinstag zu umarmen, nach Kritik.",Indische Regierung zieht Aufruf zum Umarmen von Kühen am Valentinstag nach Kritik zurück,
en-he,it,148,False,,,,,G35,GPT-3.5-Turbo,C3,Claude-3-Opus,C35,Claude-3.5-Sonnet,50.01465082168579,82.9749047756195,32.960253953933716,29.37799096107483,0.0,0.0,"המקרה שלך: בזמן האחרון, נמצא פריחה של המחלה וצבירה לא תקינה של נוזל בתוך הפריקרדיום, שבו נמצא שריר הלב.","לאחרונה, הייתה אצלו התפשטות של המחלה, והתגלתה הצטברות חריגה של נוזלים בתוך קרום הלב, בו שריר הלב ממוקם.",
en-zh,tear,83,True,1.0,office_product-4-zh_0292700-89,"The caliber is subpar, It is inferior to 925-25, if the topic is writing",质量没的说，若论写字，不如925-25,G35,GPT-3.5-Turbo,C35,Claude-3.5-Sonnet,C35,Claude-3.5-Sonnet,41.062355041503906,72.18798398971558,31.12562894821167,31.12562894821167,0.0,0.0,口径不佳，比925-25差，如果是写作主题。,质量低劣，如果谈的是写作的话，远不如925-25。,
zh-en,it,67,False,,,,,G35,GPT-3.5-Turbo,C35,Claude-3.5-Sonnet,C35,Claude-3.5-Sonnet,31.330227851867676,59.2437207698822,27.913492918014526,27.913492918014526,0.0,0.0,Your case: Source: 7 码位分配 Target: 7 code allocation,7-digit code allocation,
en-zh,it,56,False,,,,,G35,GPT-3.5-Turbo,C3,Claude-3-Opus,C35,Claude-3.5-Sonnet,56.11797571182251,83.3378255367279,27.219849824905396,18.43733787536621,0.0,0.0,你的案例： 来源：范明清总理表示希望文莱达鲁萨兰大学将继续优先考虑越南语教学质量，并进一步扩大越南语课程规模。,"范明政总理表示,希望文莱大学继续优先保证越南语教学质量,并进一步扩大越南语课程的规模。",
en-ru,it,44,False,,,,,G35,GPT-3.5-Turbo,G4o,GPT-4o,C35,Claude-3.5-Sonnet,58.523017168045044,83.38696956634521,24.86395239830017,10.485422611236572,0.0,0.0,"Ваше дело: Но мне сказали, что его штаны начали спадать, и он боролся, чтобы подтянуть их, бегая и толкая тележку с тяжелым набором головок.","Но мне сказали, что его штаны начали спадать, и он пытался подтянуть их, бегая и толкая тележку с тяжелым набором инструментов.",
