pair,strategy,mbr_utility,sentence_index_0based,selected_model,selected_model_name,selected_bleurt,meprs_model,meprs_bleurt
de-en,it,sacrebleu,0,G4o,GPT-4o,83.61838459968567,G35,87.17562556266785
de-en,it,sacrebleu,1,C35,Claude-3.5-Sonnet,79.5245110988617,C3,79.96767163276672
de-en,it,sacrebleu,2,C35,Claude-3.5-Sonnet,65.14286398887634,C35,65.14286398887634
de-en,it,sacrebleu,3,G4o,GPT-4o,74.53176379203796,C3,75.10203719139099
de-en,it,sacrebleu,4,G4o,GPT-4o,69.8790967464447,C35,69.8790967464447
de-en,it,sacrebleu,5,G4o,GPT-4o,75.05122423171997,G4o,75.05122423171997
de-en,it,sacrebleu,6,C3,Claude-3-Opus,68.73612403869629,C35,69.676274061203
de-en,it,sacrebleu,7,C35,Claude-3.5-Sonnet,84.05078053474426,C35,84.05078053474426
de-en,it,sacrebleu,8,C35,Claude-3.5-Sonnet,69.06330585479736,C35,69.06330585479736
de-en,it,sacrebleu,9,G4o,GPT-4o,57.94970989227295,C3,59.680360555648804
de-en,it,sacrebleu,10,C3,Claude-3-Opus,85.34602522850037,G4o,86.18940711021423
de-en,it,sacrebleu,11,G4o,GPT-4o,73.65972995758057,C3,76.06674432754517
de-en,it,sacrebleu,12,C3,Claude-3-Opus,83.5949182510376,G4o,83.74404907226562
de-en,it,sacrebleu,13,G4o,GPT-4o,80.05500435829163,C35,82.75551795959473
de-en,it,sacrebleu,14,C35,Claude-3.5-Sonnet,80.79878091812134,C3,82.7452301979065
de-en,it,sacrebleu,15,G4o,GPT-4o,77.56216526031494,C35,82.52702951431274
de-en,it,sacrebleu,16,C35,Claude-3.5-Sonnet,73.39051961898804,C35,73.39051961898804
de-en,it,sacrebleu,17,G4o,GPT-4o,71.30805850028992,C3,77.32316255569458
de-en,it,sacrebleu,18,G4o,GPT-4o,70.90848088264465,GP,70.90848088264465
de-en,it,sacrebleu,19,G35,GPT-3.5-Turbo,73.71887564659119,G35,73.71887564659119
de-en,it,sacrebleu,20,C3,Claude-3-Opus,82.11610317230225,C3,82.11610317230225
de-en,it,sacrebleu,21,G4o,GPT-4o,81.44548535346985,C35,81.44548535346985
de-en,it,sacrebleu,22,G35,GPT-3.5-Turbo,64.812570810318,G4o,84.6933901309967
de-en,it,sacrebleu,23,C3,Claude-3-Opus,77.33541131019592,G35,78.22427153587341
de-en,it,sacrebleu,24,C3,Claude-3-Opus,85.63583493232727,C35,91.30281805992126
de-en,it,sacrebleu,25,G4o,GPT-4o,74.13796782493591,G4o,74.13796782493591
de-en,it,sacrebleu,26,G4o,GPT-4o,85.62122583389282,C3,85.62122583389282
de-en,it,sacrebleu,27,GP,Gemini-Pro,53.58628034591675,C3,61.50089502334595
de-en,it,sacrebleu,28,G4o,GPT-4o,82.02456831932068,C3,82.02456831932068
de-en,it,sacrebleu,29,G4o,GPT-4o,69.80764269828796,C35,73.97474646568298
de-en,it,sacrebleu,30,C35,Claude-3.5-Sonnet,69.90872621536255,GP,74.50616955757141
de-en,it,sacrebleu,31,C35,Claude-3.5-Sonnet,58.86121988296509,G35,59.86883044242859
de-en,it,sacrebleu,32,C35,Claude-3.5-Sonnet,77.41682529449463,C3,78.03694009780884
de-en,it,sacrebleu,33,G4o,GPT-4o,88.4819507598877,C35,88.48199248313904
de-en,it,sacrebleu,34,G4o,GPT-4o,78.27335000038147,C3,80.57602643966675
de-en,it,sacrebleu,35,G4o,GPT-4o,82.7624499797821,C35,82.95820355415344
de-en,it,sacrebleu,36,G4o,GPT-4o,81.63415789604187,C3,81.63415789604187
de-en,it,sacrebleu,37,G35,GPT-3.5-Turbo,97.43679165840149,GP,97.43685722351074
