target_index,sample_domain,sample_id,src,ref
1,news,aj-english.33941,"The incident comes after increase in numbers of refugees and asylum seekers crossing the Channel to the UK in boats. Police have arrested 15 people after an anti-refugee demonstration outside a hotel used to house asylum seekers turned violent near the English city of Liverpool. The Merseyside Police department said a police officer and two civilians sustained minor injuries during the disturbance on Friday night in Knowsley. The police force said some protesters threw objects and set a police van on fire. The people arrested, who ranged in age from 13 to 54, were detained ""following violent disorder."" Merseyside police commissioner Emily Spurrell told Radio City, ""It was incredibly dangerous and there were a couple of injuries amongst the police officers.""","Der Vorfall ereignet sich, nachdem sich die Zahl der Flüchtlinge und Asylbewerber, die den Ärmelkanal nach Großbritannien in Booten überqueren, ansteigt. Die Polizei hat 15 Menschen verhaftet, nachdem Anti-Flüchtlingsdemonstrationen vor einem Hotel in der Nähe der englischen Stadt Liverpool, das verwendet wird, um Asylbewerber unterzubringen, gewalttätig wurden. Laut dem Polizeirevier von Merseyside erlitten ein Polizeibeamter und zwei Zivilisten während des Tumults am Freitagabend in Knowsley leichte Verletzungen. Die Polizei gab bekannt, dass einige Demonstranten Gegenstände warfen und einen Polizeiwagen anzündeten. Die verhafteten Menschen, die zwischen 13 und 54 Jahren alt waren, wurden „aufgrund von gewalttätigen Ausschreitungen“ inhaftiert. Die Polizeikommissarin von Merseyside Emily Spurrell äußerte gegenüber Radio City, „Es war unglaublich gefährlich und es gab einige Verletzte unter den Polizeibeamten.“"
6,news,bbc.124285,Derry City emerged victorious in the President's Cup as they ran out 2-0 winners over Shamrock Rovers. The FAI Cup holders defeated last season's league winners at the Brandywell thanks to first-half goals from Will Patching and Michael Duffy. The Hoops pushed to reduced terms in the second half but Ruaidhri Higgins' charges stood firm to win the curtain-raiser. Derry travel to St. Patrick's Athletic for the league opener next Friday. Patching's side-footed volley nudged Derry in front after 23 minutes - the midfielder opened the scoring as the Foylesider's ran out 2-1 winners over the eventual champions last February.,"Derry City ging siegreich aus dem President's Cup hervor, nachdem es mit 2: 0 gegen die Shamrock Rovers gewonnen hatte. Der Titelverteidiger des FAI Cup besiegte den Sieger der letzten Saison in Brandywell aufgrund Toren von Will Patching und Michael Duffy in der ersten Halbzeit. Die Hoops ließen in der zweiten Halbzeit nach, aber Ruaidhri Higgins Schüsse waren stark genug, um den Auftakt zu gewinnen. Derry reiste zu den St. Patrick's Athletics für das erste Spiel der Saison nächsten Freitag. Patchings seitlicher Volley schoss Derry nach 23 Minuten nach vorne – der Mittelfeldspieler erzielte das erste Tor, nachdem die Foylesider letzten Februar 2:1 gegen die späteren Meister gespielt hatten."
12,news,cbsnews.120102,Dad says daughter took her own life after being bullied at NJ school,"Der Vater sagt, die Tochter nahm sich das Leben, nachdem sie in einer Schule in New Jersey gemobbt wurde"
30,news,cnn.151755,"The Minnesota Department of Natural Resources came to the rescue of a bear-y unlucky bear after it became trapped in a ditch. The bear had hunkered down in a culvert alongside the road near Wannaska, Minnesota, according to a Facebook post from the department. But when the snow began to melt, the culvert started to flood, trapping the bear in deep snow and ice, according to the department. Staff from the department quickly responded to the scene and helped remove the bear. The department's bear biologist, Andrew Tri, ""examined the bear and pronounced him healthy but groggy - obviously, because he'd been woken up from his winter sleep,"" according to the Facebook post. The department then relocated the bear to a state sanctuary to resume his hibernation. The sleepy carnivore was estimated to be 6 years old and between 375 and 400 pounds.","Das Minnesota Department of Natural Resources kam einem sehr unglücklichen Bären zur Rettung, nachdem er sich in einem Graben verfangen hatte. Der Bär hatte sich in einem Abzugskanal entlang der Straße nahe Wannaska, Minnesota zurückgezogen, so ein Facebook-Beitrag des Department. Aber als der Schnee anfing zu schmelzen, stieg der Wasserpegel im Abzugskanal und der Bär wurde in tiefem Schnee und Eis eingeschlossen, sagte das Department. Mitarbeiter des Departments reagierten schnell und halfen dem Bären, zu entkommen. Der Bärenbiologe des Departments, Andrew Tri, „untersuchte den Bären und erklärte ihn für gesund, aber angeschlagen – offenbar, weil er aus seinem Winterschlag geweckt wurde“, so der Facebook-Beitrag. Das Department brachte den Bären dann in ein staatliches Schutzgebiet, damit er seinen Winterschlaf fortsetzen kann. Das müde Raubtier wurde auf 6 Jahre und zwischen 375 und 400 Pfund schwer geschätzt."
33,news,egyptindependent.com.11799,"The tombs of Djehuty and Hery have been inaugurated on Thursday following the completion of restoration work. The inauguration was conducted by the Secretary General of the Supreme Council of Antiquities in Egypt Mostafa Waziri, Ambassador of Span to Egypt Alvaro Iranzo, and the President of the Spanish National Research Council (CSIC), Eloísa del Pino. Waziri explained that the two tombs were discovered through the joint Egyptian-Spanish archaeological mission from the Supreme Council of Antiquities and CSIC, working since 2002. He said that the mission carried out excavation and restoration work and published research related to the tombs, which are located in the Dra Abu al-Naga area on the west bank of Luxor. They succeeded in uncovering many tombs, coffins, mummies and a funerary garden.","Die Gräber von Djehuti und Hery wurden am Donnerstag nach Abschluss der Restaurationsarbeiten eingeweiht. Die Einweihung wurde vom Generalsekretär des Obersten Rats für Altertümer von Ägypten, Mostafa Waziri, dem Botschafter Spaniens in Ägypten, Alvaro Iranzo, und der Präsidentin des Obersten Rats für wissenschaftliche Forschung Spaniens (CSIC), Eloísa del Pino, durchgeführt. Waziri erklärte, dass die zwei Gräber während eines gemeinsamen ägyptisch-spanischen archäologischen Einsatzes des Obersten Rat für Altertümer und des CSIC, die seit 2002 zusammenarbeiten, entdeckt wurden. Er sagte, dass die Mission Ausgrabungs- und Restaurationsarbeiten durchführte und Forschung bezüglich der Gräber, die sich in der Region Dra Abu al-Naga am westlichen Nilufer von Luxor befinden, veröffentlichte. Ihnen gelang es viele Gräber, Särge, Mumien und einen Begräbnisgarten freizulegen."
35,news,egyptindependent.com.11799,"Wazir explained that these two tombs belong to prominent people, who lived during the beginning of the 18th dynasty of the New Kingdom - one of the most important eras of ancient Egypt. He said that the layout of the tombs are T-shaped, a style commonly used in tombs from the 18th dynasty. These consistent of an entrance, a column hall leading to a burial shaft, and walls featuring distinct inscriptions. Waziri added that Djehuty was supervisor of the state treasury and overviewed works of craftsmen and artists during the reign of Queen Hatshepsut.","Wazir erklärte, dass diese Gräber bedeutenden Menschen gehören, die während dem Anfang der 18. Dynastie des Neuen Reichs lebten – einem der wichtigsten Zeitalter des Alten Ägyptens. Er sagte, dass der Grundriss der Gräber T-förmig ist, ein Stil, der häufig bei Gräber der 18. Dynastie verwendet wird. Diese besten aus einem Eingangsbereich, einem Säulensaal, der in einen Grabschaft führt, und Wänden, die eindeutige Inschriften zeigen. Waziri fügte hinzu, dass Djehuti Aufseher der Staatskasse war und die Arbeit von Handwerkern und Künstlern während der Herrschaft von Königin Hatschepsut überwachte."
38,news,guardian.114833,"The disgraced former MP Jared O'Mara ""should never have been selected as a Labour candidate"" and deserves his four-year jail sentence, the shadow chancellor has said. Rachel Reeves was talking to the Guardian in the Bolton North East constituency on Friday, hours after key figures in the local party quit in protest at how Labour's national executive committee (NEC) was controlling the parliamentary selection process for the next general election.","Der in Ungnade gefallene ehemalige Abgeordnete Jared O'Mara „hätte nie als Labour-Kandidat ausgewählt werden sollen“ und verdient seine vierjährige Haftstrafe, sagte die Schattenkanzlerin. Rachel Reeves sprach am Freitag im Wahlbezirk Bolton North East mit dem Guardian, nur wenige Stunden nachdem Schlüsselfiguren der örtlichen Partei ausgetreten waren, um gegen die Art, wie das von Labour geführte National Executive Committee (NEC) den parlamentarischen Auswahlprozess für die nächste Parlamentswahl kontrolliert hatte, zu protestieren."
40,news,guardian.114833,"There has been particular unhappiness that Leigh Drennan, the chair of Labour North West and aide to the Jeremy Corbyn-supporting Warrington North MP Charlotte Nichols, was not longlisted to try to win the seat back from the Conservatives, despite garnering nominations from four big trade unions. Reeves said she had nothing to do with candidate selection, but added: ""I do know that it's really important that we have rigorous processes for who can be longlisted and who can be shortlisted.""","Besondere Unzufriedenheit gab es damit, dass Leigh Drennan, der Vorsitzende von Labour North West und Berater der Warrington North-Abgeordneten Charlotte Nichols, die Jeremy Corbyn unterstützt, nicht auf die Longlist gesetzt wurde, um zu versuchen, Sitze von den Konservativen zurückzugewinnen, obwohl er von vier großen Gewerkschaften nominiert worden war. Reeves sagte, dass sie nichts mit der Auswahl der Kandidaten zu tun hatte, aber fügte hinzu: „Ich weiß, dass es sehr wichtig ist, dass wir strenge Prozesse dafür haben, wer auf die Longlist und wer auf die Shortlist gesetzt werden kann.“"
46,news,guardian.114893,"One person has been arrested amid a protest outside Tate Britain, where a drag queen storytelling event for children was being hosted. The Metropolitan police said one person was arrested on suspicion of making a racially aggravated comment towards a police officer outside the art gallery near Westminster. No injuries have been reported and officers remain at the scene, the force said.","Inmitten eines Protests vor der Tate Britain wurde eine Person verhaftet. Dort wurde eine Veranstaltung für Kinder, bei der eine Dragqueen Geschichten erzählte, veranstaltet. Laut der Metropolitan Police wurde eine Person festgenommen, weil sie verdächtigt wird, vor der Kunstgalerie in der Nähe von Westminster eine rassistische Äußerung gegenüber einem Polizeibeamten gemacht zu haben. Es wurden keine Verletzungen gemeldet und Beamte sind weiter vor Ort, so die Polizei."
50,news,huffingtonpost.com.50412,"Donald Trump's heavily mortgaged skyscraper at 40 Wall Street is on ""lender watch"" amid plummeting income and increasing costs, Bloomberg reported Friday. The vacancy rate at the 72-story building - Trump's most valuable - jumped to almost 18% in the third quarter of last year, according to a monthly filing on the building's remaining $126.5 million mortgage, Bloomberg reported. Expenses, meanwhile, have reportedly risen 11% since the origin of the 2015 mortgage. Trump has often bragged about the building he acquired in 1995, which was appraised at $540 million in 2015.","Donald Trumps mit hohen Hypotheken belasteter Wolkenkratzer auf der Wall Street 40 ist vor dem Hintergrund sinkenden Einkommens und wachsender Kosten unter „Kreditgeberbeobachtung“, berichtete Bloomberg am Freitag. Die Leerstandsquote des 72-stöckigen Gebäudes – Trumps wertvollstem – sprang im dritten Quartal des letzten Jahres laut einer monatlichen Einreichung über die verbleibende 126,5 Mio. $ hohe Hypothek auf fast 18 %, berichtete Bloomberg. Die Ausgaben sind Berichten zufolge währenddessen seit dem Beginn der Hypothek 2015 um 11 % gestiegen. Trump hat oft mit dem Gebäude geprahlt, das er 1995 erworben hat und das im Jahr 2015 auf einen Wert von 540 Mio. $ geschätzt wurde."
